,area,Quarter,violations,lon,lat,borough,violations_borough_total,borough_avg,deviation_pct
46,Flatbush,2024Q4,7670,-73.95980000000002,40.64090014709733,Brooklyn,23975,2996.875,1.559332638164755
47,Flatbush,2025Q1,16932,-73.95980000000002,40.64090014709733,Brooklyn,58789,7348.625,1.3041045093469867
48,Flatbush,2025Q1,16932,-73.95980000000002,40.64090014709733,Brooklyn,58789,7348.625,1.3041045093469867
49,Flatbush,2025Q2,15012,-73.95980000000002,40.64090014709733,Brooklyn,53593,6699.125,1.240889668426847
50,Flatbush,2025Q2,15012,-73.95980000000002,40.64090014709733,Brooklyn,53593,6699.125,1.240889668426847
51,Flatbush,2025Q3,15206,-73.95980000000002,40.64090014709733,Brooklyn,51898,6487.25,1.3439824270684806
52,Flatbush,2025Q3,15206,-73.95980000000002,40.64090014709733,Brooklyn,51898,6487.25,1.3439824270684806
53,Flatbush,2025Q4,3900,-73.95980000000002,40.64090014709733,Brooklyn,12993,1624.125,1.4012930039251905
54,Flatbush,2025Q4,3900,-73.95980000000002,40.64090014709733,Brooklyn,12993,1624.125,1.4012930039251905
55,Flushing,2024Q4,1121,-73.83309999999997,40.76750014621294,Queens,11378,1896.3333333333333,-0.4088592019687115
56,Flushing,2025Q1,3228,-73.83309999999997,40.76750014621294,Queens,31231,5205.166666666667,-0.3798469469437418
57,Flushing,2025Q2,4156,-73.83309999999997,40.76750014621294,Queens,33972,5662.0,-0.26598375132462027
58,Flushing,2025Q3,3589,-73.83309999999997,40.76750014621294,Queens,26386,4397.666666666667,-0.18388539376942323
59,Flushing,2025Q4,978,-73.83309999999997,40.76750014621294,Queens,7359,1226.5,-0.20260905014268243
60,Fordham,2024Q4,4566,-73.89030000000002,40.86140014555597,Bronx,19947,3324.5,0.3734396149796962
61,Fordham,2025Q1,11966,-73.89030000000002,40.86140014555597,Bronx,59447,9907.833333333334,0.2077312564132756
62,Fordham,2025Q2,12637,-73.89030000000002,40.86140014555597,Bronx,59693,9948.833333333334,0.27019918583418484
63,Fordham,2025Q3,10974,-73.89030000000002,40.86140014555597,Bronx,49575,8262.5,0.32816944024205746
64,Fordham,2025Q4,3023,-73.89030000000002,40.86140014555597,Bronx,14067,2344.5,0.28940072510130094
65,Harlem,2024Q4,13018,-73.94649999999996,40.811600145904485,Manhattan,29390,4198.571428571428,2.1005784280367474
66,Harlem,2025Q1,26640,-73.94649999999996,40.811600145904485,Manhattan,83038,11862.57142857143,1.2457188275247475
67,Harlem,2025Q2,28346,-73.94649999999996,40.811600145904485,Manhattan,96425,13775.0,1.0577858439201453
68,Harlem,2025Q3,23156,-73.94649999999996,40.811600145904485,Manhattan,93441,13348.714285714286,0.7346989009107351
69,Harlem,2025Q4,5357,-73.94649999999996,40.811600145904485,Manhattan,23276,3325.1428571428573,0.6110586011342154
